Player,Team,Position,Height,Weight,PPG,RPG,APG,SPG,BPG,Headshot_URL
Jacob Toppin,Atlanta Hawks,F,6-8,200,0.4,0.7,0.2,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631210.png
Jalen Johnson,Atlanta Hawks,F,6-8,219,18.9,10.0,5.0,1.6,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630552.png
Keaton Wallace,Atlanta Hawks,G,6-3,185,5.4,1.6,2.6,0.9,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630811.png
Caris LeVert,Atlanta Hawks,G,6-6,205,10.2,2.8,3.7,0.9,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1627747.png
Kobe Bufkin,Atlanta Hawks,G,6-4,195,5.3,2.1,1.7,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641723.png
Dyson Daniels,Atlanta Hawks,G,6-7,199,14.1,5.9,4.4,3.0,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630700.png
Zaccharie Risacher,Atlanta Hawks,F,6-8,200,12.6,3.6,1.2,0.7,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1642258.png
Trae Young,Atlanta Hawks,G,6-1,164,24.2,3.1,11.6,1.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png
Terance Mann,Atlanta Hawks,G-F,6-5,215,6.0,2.9,1.6,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629611.png
Clint Capela,Atlanta Hawks,C,6-10,256,8.9,8.5,1.1,0.6,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203991.png
Onyeka Okongwu,Atlanta Hawks,F-C,6-10,240,13.4,8.9,2.3,0.9,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1630168.png
Mouhamed Gueye,Atlanta Hawks,F,6-10,210,6.0,4.2,0.8,0.8,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631243.png
Georges Niang,Atlanta Hawks,F,6-7,230,8.7,3.7,1.3,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1627777.png
Larry Nance Jr.,Atlanta Hawks,F-C,6-8,245,8.5,4.3,1.6,0.8,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1626204.png
Garrison Mathews,Atlanta Hawks,G,6-6,215,7.5,1.9,1.3,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629726.png
Dominick Barlow,Atlanta Hawks,F,6-8,215,4.2,2.4,0.5,0.3,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1631230.png
Vít Krejčí,Atlanta Hawks,G,6-8,195,7.2,2.7,2.6,0.6,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630249.png
Daeqwon Plowden,Atlanta Hawks,G-F,6-6,216,7.2,1.8,0.3,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631342.png
Jayson Tatum,Boston Celtics,F-G,6-8,210,26.8,8.7,6.0,1.1,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png
Miles Norris,Boston Celtics,F,6-7,220,2.3,3.0,0.0,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641936.png
Jrue Holiday,Boston Celtics,G,6-4,205,11.1,4.3,3.9,1.1,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png
Jaylen Brown,Boston Celtics,G-F,6-6,223,22.2,5.8,4.5,1.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png
Kristaps Porziņģis,Boston Celtics,F-C,7-2,240,19.5,6.8,2.1,0.7,1.5,https://cdn.nba.com/headshots/nba/latest/1040x760/204001.png
Derrick White,Boston Celtics,G,6-4,190,16.4,4.5,4.8,0.9,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png
Payton Pritchard,Boston Celtics,G,6-1,195,14.3,3.8,3.5,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630202.png
Torrey Craig,Boston Celtics,F,6-5,221,6.9,2.8,0.6,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628470.png
Drew Peterson,Boston Celtics,F,6-9,205,2.2,1.6,0.5,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641809.png
JD Davison,Boston Celtics,G,6-1,195,2.1,0.8,0.8,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631120.png
Xavier Tillman,Boston Celtics,F,6-7,245,1.0,1.3,0.2,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630214.png
Jordan Walsh,Boston Celtics,G,6-6,205,1.6,1.3,0.4,0.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png
Sam Hauser,Boston Celtics,F,6-7,217,8.5,3.2,0.9,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630573.png
Luke Kornet,Boston Celtics,C-F,7-1,250,6.0,5.3,1.6,0.5,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628436.png
Al Horford,Boston Celtics,C-F,6-9,240,9.0,6.2,2.1,0.6,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png
Baylor Scheierman,Boston Celtics,G,6-6,205,3.6,2.1,1.1,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631248.png
Neemias Queta,Boston Celtics,C,7-0,248,5.0,3.8,0.7,0.3,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1629674.png
Max Strus,Cleveland Cavaliers,G-F,6-5,215,9.4,4.3,3.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629622.png
Ty Jerome,Cleveland Cavaliers,G-F,6-5,195,12.5,2.5,3.4,1.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629660.png
Evan Mobley,Cleveland Cavaliers,C,6-11,215,18.5,9.3,3.2,0.9,1.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630596.png
Sam Merrill,Cleveland Cavaliers,G,6-4,205,7.2,2.2,1.5,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630241.png
Javonte Green,Cleveland Cavaliers,G,6-5,205,5.8,3.6,0.9,1.1,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1629750.png
Craig Porter Jr.,Cleveland Cavaliers,G,6-1,180,3.7,1.3,1.4,0.3,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641854.png
Darius Garland,Cleveland Cavaliers,G,6-1,192,20.6,2.9,6.7,1.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png
De'Andre Hunter,Cleveland Cavaliers,F-G,6-8,221,19.0,3.9,1.5,0.8,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png
Tristan Thompson,Cleveland Cavaliers,C-F,6-9,254,1.7,3.4,0.6,0.0,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/202684.png
Chuma Okeke,Cleveland Cavaliers,F,6-7,229,6.9,6.1,1.9,0.7,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629643.png
Emoni Bates,Cleveland Cavaliers,F,6-8,202,3.7,0.7,0.8,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641734.png
Jaylon Tyson,Cleveland Cavaliers,G-F,6-6,215,3.6,2.0,0.9,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642281.png
Nae'Qwan Tomlin,Cleveland Cavaliers,F,6-10,210,7.2,4.2,0.4,0.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641772.png
Jarrett Allen,Cleveland Cavaliers,C,6-9,243,13.5,9.7,1.9,0.9,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1628386.png
Dean Wade,Cleveland Cavaliers,F-C,6-9,228,5.4,4.2,1.3,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1629731.png
Luke Travers,Cleveland Cavaliers,F,6-7,207,1.0,1.7,0.7,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631247.png
Isaac Okoro,Cleveland Cavaliers,F-G,6-5,225,6.1,2.4,1.2,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630171.png
Donovan Mitchell,Cleveland Cavaliers,G,6-3,215,24.0,4.5,5.0,1.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png
Keion Brooks Jr.,New Orleans Pelicans,F,6-7,210,10.1,4.1,0.9,0.7,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1631232.png
Bruce Brown,New Orleans Pelicans,G-F,6-4,202,8.4,3.8,1.6,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1628971.png
Zion Williamson,New Orleans Pelicans,F,6-6,284,24.6,7.2,5.3,1.2,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png
Herbert Jones,New Orleans Pelicans,F,6-7,206,10.2,3.9,3.2,1.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630529.png
CJ McCollum,New Orleans Pelicans,G,6-3,190,21.1,3.8,4.1,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
Elfrid Payton,New Orleans Pelicans,G,6-3,195,1.0,2.2,3.3,1.0,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/203901.png
Dejounte Murray,New Orleans Pelicans,G,6-4,180,17.5,6.5,7.4,2.0,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1627749.png
Jamal Cain,New Orleans Pelicans,F,6-6,191,5.3,2.3,0.6,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631288.png
Brandon Boston,New Orleans Pelicans,G,6-6,188,10.7,3.2,2.2,1.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630527.png
Antonio Reeves,New Orleans Pelicans,G,6-5,205,6.9,1.4,0.9,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641810.png
Kelly Olynyk,New Orleans Pelicans,F-C,6-11,240,7.1,3.7,2.3,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/203482.png
Jose Alvarado,New Orleans Pelicans,G,6-0,179,10.3,2.4,4.6,1.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png
Karlo Matković,New Orleans Pelicans,F-C,6-10,231,7.7,5.0,1.1,0.5,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631255.png
Yves Missi,New Orleans Pelicans,C,6-11,235,9.1,8.2,1.4,0.5,1.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1642274.png
Lester Quinones,New Orleans Pelicans,G,6-4,208,2.2,1.0,0.2,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631311.png
Jordan Hawkins,New Orleans Pelicans,G,6-5,190,10.8,2.8,1.2,0.5,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1641722.png
Trey Murphy III,New Orleans Pelicans,F,6-8,206,21.2,5.1,3.5,1.1,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630530.png
Jeremiah Robinson-Earl,New Orleans Pelicans,F,6-8,240,6.3,4.8,1.3,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630526.png
Coby White,Chicago Bulls,G,6-5,195,20.4,3.7,4.5,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629632.png
Lonzo Ball,Chicago Bulls,G,6-6,190,7.6,3.4,3.3,1.3,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1628366.png
Josh Giddey,Chicago Bulls,G,6-8,216,14.6,8.1,7.2,1.2,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png
Jevon Carter,Chicago Bulls,G,6-1,200,4.2,1.1,1.1,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1628975.png
Jalen Smith,Chicago Bulls,F-C,6-9,215,8.2,5.6,1.0,0.3,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630188.png
Nikola Vučević,Chicago Bulls,C,6-10,260,18.5,10.1,3.5,0.8,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png
Ayo Dosunmu,Chicago Bulls,G,6-5,200,12.3,3.5,4.5,0.9,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630245.png
Jahmir Young,Chicago Bulls,G,6-1,185,1.8,0.5,1.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642443.png
Zach Collins,Chicago Bulls,F-C,6-11,250,4.6,2.8,1.4,0.4,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1628380.png
Kevin Huerter,Chicago Bulls,G-F,6-7,198,7.9,2.8,1.7,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1628989.png
Matas Buzelis,Chicago Bulls,F,6-10,209,8.6,3.5,1.0,0.4,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1641824.png
Julian Phillips,Chicago Bulls,F,6-8,198,4.6,2.1,0.5,0.5,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641763.png
Emanuel Miller,Chicago Bulls,F,6-7,215,1.7,1.3,0.3,0.2,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641801.png
Talen Horton-Tucker,Chicago Bulls,G,6-4,234,6.5,1.7,1.4,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629659.png
Dalen Terry,Chicago Bulls,F,6-7,195,4.5,1.7,1.3,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631207.png
Tre Jones,Chicago Bulls,G,6-1,185,4.4,2.1,3.7,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630200.png
E.J. Liddell,Chicago Bulls,F,6-6,240,1.8,0.8,0.2,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630604.png
Patrick Williams,Chicago Bulls,F,6-7,215,9.0,3.8,2.0,0.8,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630172.png
Danté Exum,Dallas Mavericks,G,6-5,214,8.7,1.6,2.8,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203957.png
Max Christie,Dallas Mavericks,G,6-5,190,8.5,2.7,1.4,0.8,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1631108.png
Jaden Hardy,Dallas Mavericks,G,6-3,198,8.7,1.6,1.4,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630702.png
Dereck Lively II,Dallas Mavericks,C,7-1,230,8.7,7.5,2.4,0.6,1.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1641726.png
Anthony Davis,Dallas Mavericks,F-C,6-10,253,25.7,11.9,3.4,1.3,2.1,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png
Dwight Powell,Dallas Mavericks,F-C,6-10,240,2.1,2.1,1.0,0.3,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/203939.png
Olivier-Maxence Prosper,Dallas Mavericks,F,6-7,230,3.9,2.4,0.8,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641765.png
Brandon Williams,Dallas Mavericks,G,6-1,190,8.3,1.8,2.3,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630314.png
Kyrie Irving,Dallas Mavericks,G,6-2,195,24.7,4.8,4.6,1.3,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/202681.png
Naji Marshall,Dallas Mavericks,F,6-6,220,13.2,4.8,3.0,1.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630230.png
Caleb Martin,Dallas Mavericks,F,6-5,205,9.1,4.4,2.2,1.1,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1628997.png
Kessler Edwards,Dallas Mavericks,F,6-7,203,4.2,2.9,1.0,0.5,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630556.png
Daniel Gafford,Dallas Mavericks,F-C,6-10,265,12.3,6.8,1.4,0.4,1.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1629655.png
Kai Jones,Dallas Mavericks,C-F,6-11,221,2.2,1.6,0.4,0.2,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1630539.png
P.J. Washington,Dallas Mavericks,F,6-6,230,14.7,7.8,2.3,1.1,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629023.png
Spencer Dinwiddie,Dallas Mavericks,G,6-5,215,11.0,2.6,4.4,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203915.png
Klay Thompson,Dallas Mavericks,G,6-5,220,14.0,3.4,2.0,0.7,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png
Christian Braun,Denver Nuggets,G,6-6,220,15.4,5.2,2.6,1.1,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1631128.png
Michael Porter Jr.,Denver Nuggets,F,6-10,218,18.2,7.0,2.1,0.6,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1629008.png
Julian Strawther,Denver Nuggets,G,6-6,205,9.0,2.2,1.3,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631124.png
Russell Westbrook,Denver Nuggets,G,6-4,200,13.3,4.9,6.1,1.4,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png
Hunter Tyson,Denver Nuggets,F,6-8,215,2.6,1.5,0.4,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641816.png
DeAndre Jordan,Denver Nuggets,C,6-11,265,3.7,5.1,0.9,0.3,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/201599.png
Peyton Watson,Denver Nuggets,G,6-7,200,8.1,3.4,1.4,0.7,1.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1631212.png
Dario Šarić,Denver Nuggets,F-C,6-10,225,3.5,3.1,1.4,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/203967.png
PJ Hall,Denver Nuggets,C,6-10,245,1.7,1.2,0.2,0.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641790.png
DaRon Holmes II,Denver Nuggets,F,6-10,225,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641747.png
Nikola Jokić,Denver Nuggets,C,6-11,284,29.6,12.7,10.2,1.8,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png
Spencer Jones,Denver Nuggets,F,6-7,225,1.3,0.8,0.2,0.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642461.png
Zeke Nnaji,Denver Nuggets,F-C,6-9,240,3.2,1.6,0.4,0.4,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1630192.png
Trey Alexander,Denver Nuggets,G,6-4,185,1.3,0.5,0.5,0.1,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png
Jalen Pickett,Denver Nuggets,G,6-2,202,4.1,1.4,2.2,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629618.png
Jamal Murray,Denver Nuggets,G,6-4,215,21.4,3.9,6.0,1.4,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1627750.png
Vlatko Čančar,Denver Nuggets,F,6-8,236,1.8,2.5,0.7,0.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1628427.png
Aaron Gordon,Denver Nuggets,F,6-8,235,14.7,4.8,3.2,0.5,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png
Gary Payton II,Golden State Warriors,G,6-2,195,6.5,3.0,1.3,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1627780.png
Jonathan Kuminga,Golden State Warriors,F,6-7,225,15.3,4.6,2.2,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png
Taran Armstrong,Golden State Warriors,G,6-5,190,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642379.png
Brandin Podziemski,Golden State Warriors,G,6-4,205,11.7,5.1,3.4,1.1,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641764.png
Moses Moody,Golden State Warriors,G,6-5,211,9.8,2.6,1.3,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630541.png
Kevon Looney,Golden State Warriors,F,6-9,222,4.5,6.1,1.6,0.6,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1626172.png
Buddy Hield,Golden State Warriors,G,6-4,220,11.1,3.2,1.6,0.8,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1627741.png
Jimmy Butler III,Golden State Warriors,F,6-7,230,17.0,5.2,4.8,1.1,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png
Braxton Key,Golden State Warriors,F,6-8,225,1.0,0.7,0.0,0.7,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630296.png
Gui Santos,Golden State Warriors,F,6-6,185,4.1,3.1,1.4,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630611.png
Quinten Post,Golden State Warriors,C,7-0,238,8.1,3.5,1.3,0.4,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1642366.png
Draymond Green,Golden State Warriors,F,6-6,230,9.0,6.1,5.6,1.5,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png
Stephen Curry,Golden State Warriors,G,6-2,185,24.5,4.4,6.0,1.1,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png
Kevin Knox II,Golden State Warriors,F,6-8,215,3.3,1.2,0.4,0.1,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1628995.png
Trayce Jackson-Davis,Golden State Warriors,F,6-9,245,6.6,5.0,1.7,0.4,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1631218.png
Jackson Rowe,Golden State Warriors,F,6-7,210,3.7,1.8,0.7,0.7,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642050.png
Pat Spencer,Golden State Warriors,G,6-3,205,2.5,1.2,1.2,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630311.png
Aaron Holiday,Houston Rockets,G,6-0,185,5.5,1.3,1.3,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png
Amen Thompson,Houston Rockets,G-F,6-7,200,14.1,8.2,3.8,1.4,1.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641708.png
Jock Landale,Houston Rockets,C,6-11,255,4.8,3.3,0.9,0.3,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629111.png
N'Faly Dante,Houston Rockets,C,6-11,230,6.0,5.2,0.5,0.2,1.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642368.png
Jalen Green,Houston Rockets,G,6-4,186,21.0,4.6,3.4,0.9,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630224.png
Fred VanVleet,Houston Rockets,G,6-0,197,14.1,3.7,5.6,1.6,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1627832.png
Cam Whitmore,Houston Rockets,F,6-7,230,9.4,3.0,1.0,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1641715.png
Jae'Sean Tate,Houston Rockets,F,6-4,230,3.6,2.2,0.9,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1630256.png
Dillon Brooks,Houston Rockets,G-F,6-6,225,14.0,3.7,1.7,0.8,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1628415.png
Jabari Smith Jr.,Houston Rockets,F,6-10,220,12.2,7.0,1.1,0.4,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1631095.png
Steven Adams,Houston Rockets,C,6-11,265,3.9,5.6,1.1,0.4,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/203500.png
Reed Sheppard,Houston Rockets,G,6-2,185,4.4,1.5,1.4,0.7,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1642263.png
Tari Eason,Houston Rockets,F,6-8,215,12.0,6.4,1.5,1.7,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1631106.png
Nate Williams,Houston Rockets,G,6-5,205,3.2,0.6,0.4,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631466.png
Alperen Sengun,Houston Rockets,C,6-11,243,19.1,10.3,4.9,1.1,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1630578.png
Jeff Green,Houston Rockets,F,6-8,235,5.4,1.8,0.6,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/201145.png
David Roddy,Houston Rockets,F,6-4,255,4.5,2.6,1.1,0.4,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1631223.png
Jack McVeigh,Houston Rockets,G-F,6-8,215,1.6,0.6,0.1,0.0,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1629098.png
James Harden,Los Angeles Clippers,G,6-5,220,22.8,5.8,8.7,1.5,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png
Kawhi Leonard,Los Angeles Clippers,F,6-7,225,21.5,5.9,3.1,1.6,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png
Seth Lundy,Los Angeles Clippers,G-F,6-4,220,0.0,0.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641754.png
Amir Coffey,Los Angeles Clippers,G-F,6-7,210,9.7,2.2,1.1,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1629599.png
Kris Dunn,Los Angeles Clippers,G,6-3,205,6.4,3.4,2.8,1.7,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1627739.png
Trentyn Flowers,Los Angeles Clippers,F,6-9,185,1.8,0.7,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642280.png
Bogdan Bogdanović,Los Angeles Clippers,G,6-5,225,10.0,2.8,2.0,0.8,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203992.png
Jordan Miller,Los Angeles Clippers,G,6-5,194,4.1,1.6,0.9,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641757.png
Cam Christie,Los Angeles Clippers,G,6-6,190,1.4,0.9,0.5,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1642353.png
Drew Eubanks,Los Angeles Clippers,F-C,6-10,245,5.8,4.5,1.2,0.3,0.9,https://cdn.nba.com/headshots/nba/latest/1040x760/1629234.png
Kobe Brown,Los Angeles Clippers,F,6-7,250,1.9,1.6,0.6,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641738.png
Patrick Baldwin Jr.,Los Angeles Clippers,F,6-9,220,2.1,1.0,0.1,0.1,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631116.png
Norman Powell,Los Angeles Clippers,G,6-4,215,21.8,3.2,2.1,1.2,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png
Ben Simmons,Los Angeles Clippers,G-F,6-10,240,6.2,5.2,6.9,0.8,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1627732.png
Nicolas Batum,Los Angeles Clippers,G-F,6-8,230,4.0,2.8,1.1,0.7,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/201587.png
Ivica Zubac,Los Angeles Clippers,C,7-0,240,16.8,12.6,2.7,0.7,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png
Derrick Jones Jr.,Los Angeles Clippers,F,6-6,210,10.1,3.4,0.8,1.0,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1627884.png
Patty Mills,Los Angeles Clippers,G,6-2,180,4.4,1.2,1.2,0.7,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png
